,delivery_id,id_source,delivery_cost_sds,radius,delivery_options,promo,delivery,take_away,dine_in
0,delv_0,SGDD01085,5.7,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
1,delv_1,4-CYTDLPUJEP53N6,5.7,3000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
2,delv_2,SGDD05605,5.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
3,delv_3,SGDD07548,5.6,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
4,delv_4,4-CY2ZLZLTT2EDJ2,5.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
5,delv_5,4-C2L2AKNYEENBVX,7.3,25000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
6,delv_6,4-CY3TEKXEVCN1J6,5.6,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
7,delv_7,4-C2NXGNCCHBXCE2,4.09,3000,DELIVERY_TAKEAWAY,$0 Delivery Fee (min. $25 spend)!,True,True,False
8,delv_8,4-C2DCC7TVE3WWGT,7.5,10000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
9,delv_9,4-C2CZN3VCUGJYC6,6.8,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
10,delv_10,SGDD05457,5.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
11,delv_11,SGDD06403,7.5,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
12,delv_12,4-CYXKLNBFTF3CVJ,5.7,5000,ONLY_DELIVERY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,False
13,delv_13,4-CYT3AJMJANWCTE,5.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
14,delv_14,4-CYVGMB5KJBVWPE,1.99,10000,ONLY_DELIVERY,No Promotion available,True,False,False
15,delv_15,4-CYVER7T3JJMWKE,5.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
16,delv_16,SGDD01775,5.5,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
17,delv_17,4-CYNKN8BEVKAXG6,5.7,5000,DELIVERY_TAKEAWAY,⚡ Bundle Deals Available!,True,True,False
18,delv_18,SGDD07325,4.7,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
19,delv_19,SGDD03059,4.09,3000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
20,delv_20,SGDD05419,5.7,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
21,delv_21,4-C2MFTGNUEPKGEN,6.4,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
22,delv_22,4-C2BBTACEE4CXR6,4.7,5000,DELIVERY_TAKEAWAY,Takeaway Set Promo,True,True,False
23,delv_23,SGDD09210,7.1,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
24,delv_24,4-C2KYHACHNNXJL6,7.1,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
25,delv_25,4-CZKKEB5VNNKKEA,5.7,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
26,delv_26,4-C2AYHEVGE3CHT6,4.09,3000,ONLY_DELIVERY,$0 Delivery Fee (min. $28 spend)!,True,False,False
27,delv_27,4-CZATRPEGSALZC6,5.5,10000,ONLY_DELIVERY,No Promotion available,True,False,False
28,delv_28,SGDD11680,4.7,3000,ONLY_DELIVERY,No Promotion available,True,False,False
29,delv_29,4-CZDYGRKWA6NERJ,7.6,5000,DELIVERY_TAKEAWAY,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,True,False
30,delv_30,4-CZDWNPXXWCLTFA,4.09,3000,DELIVERY_TAKEAWAY,$0 Delivery Fee (min. $35 spend)!,True,True,False
31,delv_31,4-CYMFLRL3C8NUTE,5.5,5000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
32,delv_32,SGDD08899,4.7,5000,DELIVERY_DINEIN,"Use 'TEATIME' for FREE delivery between 3PM to 5PM, Mon to Sun",True,False,True
33,delv_33,4-CYWJRYJDRCBKNX,6.6,25000,DELIVERY_TAKEAWAY,No Promotion available,True,True,False
34,delv_34,4-C2NKT3VHJ3MYUE,5.6,4000,ONLY_DELIVERY,No Promotion available,True,False,False
35,delv_35,4-CZJ1L3BWJLMUA2,5.6,3000,DELIVERY_TAKEAWAY,20% OFF Family Bundles,True,True,False
